epoch,train_loss,train_acc,test_loss,test_acc
1,0.9075177524757385,0.69286,0.6798961110115052,0.7672
2,0.5280096602249146,0.82076,0.615824520778656,0.7891
3,0.39174481885910034,0.86394,0.5662117696762085,0.812
4,0.31083215870380404,0.89232,0.616467637348175,0.8023
5,0.24583511682033538,0.91576,0.6509663251876832,0.8
6,0.2041355095386505,0.93008,0.6818843941688537,0.8069
7,0.17266169924736022,0.9402,0.6977420450210571,0.8065
8,0.14889420766115188,0.94902,0.7253630134582519,0.8079
9,0.1357725147676468,0.95234,0.7385340118408203,0.8029
10,0.10875159283161163,0.96142,0.7719330247879028,0.8152
11,0.10757795464515686,0.96292,0.7669529731750488,0.8046
12,0.09668548692464829,0.9672,0.7700587911605835,0.8111
13,0.0919556839632988,0.96876,0.785840426826477,0.8116
14,0.08583782237768173,0.97006,0.750512020778656,0.8078
15,0.07904810595035552,0.97284,0.762438547706604,0.8211
16,0.07414657981276512,0.97412,0.8059548593521119,0.8049
17,0.07646089237451553,0.97388,0.7704403051376343,0.8145
18,0.06652952367544174,0.97726,0.7935234441757202,0.8129
19,0.06969175513148308,0.9759,0.8152090866088867,0.8042
20,0.06437036739945412,0.97742,0.8114165987014771,0.8101
21,0.05892047201514244,0.98048,0.777081503868103,0.8132
22,0.06726857688784599,0.97726,0.837408281326294,0.8039
23,0.06078041708946228,0.97938,0.8027105881690979,0.8118
24,0.05933596925377846,0.9793,0.8131157432556152,0.8191
25,0.057864484443068506,0.98022,0.8322080945014954,0.8057
26,0.05392530319452286,0.98206,0.8100006474494934,0.8149
27,0.05747293371081352,0.98016,0.9121434497833252,0.802
28,0.05946692795336247,0.98004,0.8255891214370727,0.81
29,0.056659600621461866,0.9809,0.8211061304092407,0.81
30,0.0541302744781971,0.9823,0.8505830432891845,0.8083
