epoch,train_loss,train_acc,test_loss,test_acc
1,1.8640844853973388,0.35138,1.6892768503189086,0.4203
2,1.6281409560775757,0.43904,1.628664142036438,0.4401
3,1.585193629989624,0.4508,1.6030470554351806,0.4498
4,1.5605019959259032,0.4581,1.587411044883728,0.4571
5,1.5447186077499389,0.46512,1.5699153930664063,0.4616
6,1.532715358581543,0.47038,1.5603474132537842,0.4628
7,1.528086079750061,0.46972,1.5526814872741699,0.4674
8,1.5236711315917968,0.47142,1.5464559770584105,0.4732
9,1.5161688576507568,0.47588,1.5445268049240113,0.4766
10,1.5110450328063965,0.47726,1.5493628887176514,0.4695
11,1.505704547958374,0.4788,1.541395439529419,0.471
12,1.5021627738189698,0.48136,1.5451956823349,0.4721
13,1.5067738480377197,0.47928,1.5440134510040284,0.4733
14,1.5029344552993775,0.47942,1.5476449090957642,0.4696
15,1.4998037632369996,0.4798,1.5403135068893432,0.4733
16,1.5026846087265016,0.48032,1.55056427898407,0.4652
17,1.5000988197326661,0.4794,1.5496899826049804,0.4671
18,1.4986529731369018,0.47896,1.5397805627822876,0.4716
19,1.4960777323150636,0.48256,1.532765086555481,0.4729
20,1.4924441509246826,0.48528,1.5460302042007446,0.4682
21,1.4940496021270753,0.48128,1.5434346754074098,0.4712
22,1.4917291653442384,0.48114,1.5399755897521972,0.4753
23,1.4932380959320068,0.48158,1.5415461484909057,0.4709
24,1.4906927086639403,0.4809,1.533271086502075,0.4754
25,1.4947756275177002,0.47966,1.5349880352020264,0.4743
26,1.49362477394104,0.4816,1.5408691200256348,0.4732
27,1.490313302230835,0.48506,1.535026496887207,0.4729
28,1.4927691710662843,0.48254,1.5394298442840577,0.4745
29,1.4876413132476807,0.48252,1.5385578981399537,0.4742
30,1.4976073059082031,0.48044,1.5346314069747924,0.4722
