epoch,train_loss,train_acc,test_loss,test_acc
1,1.8673235995864867,0.34622,1.6857802713394165,0.4211
2,1.6345498873901367,0.4367,1.6233665069580079,0.4426
3,1.5870185593414308,0.45178,1.5908945207595826,0.4536
4,1.5619507280731202,0.45694,1.592261449432373,0.4478
5,1.5438411486053467,0.46538,1.5679206409454345,0.4579
6,1.5324572524642945,0.46992,1.5711678983688355,0.4584
7,1.5271482232666016,0.47058,1.5579442302703856,0.4651
8,1.5202052112579345,0.47512,1.55209990940094,0.4669
9,1.5187457916641236,0.47372,1.5571254852294922,0.4654
10,1.5145005250167847,0.47672,1.5495476404190063,0.4651
11,1.510433623123169,0.47714,1.5572734489440918,0.4677
12,1.5118126848983764,0.47804,1.5413319828033447,0.473
13,1.5066554275894164,0.47576,1.5410442014694214,0.468
14,1.5049602328491212,0.4799,1.5409597616195678,0.4725
15,1.5040966196060181,0.4797,1.542072098350525,0.4721
16,1.5000766386795044,0.47934,1.5454841588974,0.468
17,1.501463356590271,0.47812,1.538349635887146,0.4733
18,1.4977711911773681,0.48064,1.5430888463974,0.4724
19,1.4946990550613404,0.48102,1.5407519424438476,0.4714
20,1.4977482918930054,0.48138,1.5359306491851807,0.4734
21,1.4944554625320434,0.48244,1.5347962615966797,0.4718
22,1.5004022710037233,0.48072,1.5357661725997924,0.4733
23,1.4948080713272094,0.4795,1.5353209009170532,0.4731
24,1.4939751913452148,0.48262,1.532139425086975,0.4737
25,1.4950851775741578,0.48362,1.538343756866455,0.4699
26,1.4933489168930054,0.48322,1.5360160108566283,0.4705
27,1.4915321877288819,0.48112,1.5430833374023438,0.47
28,1.494362685508728,0.4818,1.5413280956268312,0.4704
29,1.4887580009841919,0.48432,1.5343730289459228,0.4704
30,1.493379881401062,0.48058,1.5371809329986572,0.4731
