epoch,train_loss,train_acc,test_loss,test_acc,train_time,eval_time,epoch_time
1,0.17996456768264374,0.9529,0.04520060534663498,0.9847,14.026109218597412,1.536548376083374,15.56265902519226
2,0.032674433594197035,0.9900333333333333,0.032927729355357586,0.9889,13.776526689529419,1.519026756286621,15.295555353164673
3,0.021542427717211345,0.99325,0.029487085251370445,0.9914,13.751374006271362,1.4624347686767578,15.213810920715332
4,0.014570627858707061,0.9954666666666667,0.027373993684188462,0.9912,13.99138355255127,1.6401662826538086,15.63155198097229
5,0.008645383726308744,0.99725,0.0252136544599256,0.9929,14.002176761627197,1.437321424484253,15.439499855041504
6,0.007151083280720437,0.9977333333333334,0.025979457535850816,0.9916,13.736873388290405,1.43253493309021,15.16940975189209
7,0.004948681632398318,0.9985166666666667,0.02255901754014776,0.9938,13.806138277053833,1.4936044216156006,15.299743890762329
8,0.004443825215885105,0.9986166666666667,0.021542226867892894,0.9938,14.01645803451538,1.4365370273590088,15.452996730804443
9,0.004145451891721071,0.9986,0.02230159493501269,0.9938,13.742326498031616,1.5206475257873535,15.262976169586182
10,0.004406243345490657,0.9985,0.02391753351575244,0.9925,13.739789724349976,1.4325733184814453,15.172364473342896
11,0.002634234139889789,0.9992166666666666,0.02158583669543732,0.9937,14.013784646987915,1.5495202541351318,15.5633065700531
12,0.0012328939527583619,0.9996166666666667,0.02096303874377263,0.9941,13.757547378540039,1.522235631942749,15.279784917831421
13,0.0009355082927349335,0.99975,0.019579596861744358,0.9939,13.748517990112305,1.5221688747406006,15.270688772201538
14,0.0004723382713176155,0.99995,0.01775876551506226,0.9951,14.031299829483032,1.537705421447754,15.56900691986084
15,0.00017202748930236945,1.0,0.016856305228520795,0.9951,13.743804454803467,1.5278043746948242,15.271610975265503
16,0.0001958679283464638,1.0,0.01768189435833192,0.9949,13.730213165283203,1.5490741729736328,15.279289722442627
17,0.00018641443233548974,1.0,0.016851619003090307,0.9952,14.015155792236328,1.5461947917938232,15.561352014541626
18,0.0001770320962551826,1.0,0.016035903890265036,0.9953,13.758442640304565,1.4306817054748535,15.189126968383789
19,0.00019044512287558367,1.0,0.01601952232902404,0.9952,13.767540693283081,1.5199947357177734,15.287537813186646
20,0.0001919650884248161,1.0,0.015660183666151715,0.9948,14.021135330200195,1.616579532623291,15.637717008590698
